periodo;total;impuestos_sobre_ingresos_brutos;alumbrado_barrido_limpieza;impuesto_patentes;impuesto_sellos;plan_facilidades_pago;contribucion_por_publicidad;gravamenes_varios
ene-97;224.1;135.8;65.2;15.9;;6.8;0.1;0.3
feb-97;174.1;117;17.5;32.1;;6.3;1;0.2
mar-97;180.9;111.8;50.8;11.8;;5.7;0.5;0.2
abr-97;186.2;126.6;21.4;32.6;;5.2;0.2;0.3
may-97;223.4;129.5;75.4;12.6;;4.5;1.1;0.3
jun-97;195;128.8;21.7;37.9;;5.7;0.4;0.4
jul-97;207.7;133.7;50.8;15.4;;6.2;1.3;0.3
ago-97;195.1;144.1;14.8;28.4;;4.9;2.6;0.3
sep-97;214.8;143.5;52.4;13.7;;4.4;0.5;0.3
oct-97;206;148.2;19;34.2;;4;0.4;0.3
nov-97;208.9;141.8;47.4;14;;3.7;1.8;0.2
dic-97;213.5;145.3;29.7;32.4;;4.9;0.8;0.4
ene-98;272.1;151.2;100;15.3;;;0.3;5.3
feb-98;216.2;148.1;15.8;47;;;0.1;5.2
mar-98;216.2;142.7;51.5;15.1;;;1.5;5.4
abr-98;217.6;160.5;22.9;31.2;;;0.5;2.5
may-98;231.7;154.3;61.1;13;;;0.3;3
jun-98;217.8;151.8;27.3;33.8;;;1.4;3.5
jul-98;238.8;160.9;60.6;15.2;;;0.4;1.7
ago-98;215.3;161.1;21.5;31.2;;;0.3;1.2
sep-98;249.7;168.3;62.6;14.4;;;1.3;3.1
oct-98;225.7;163.7;20.1;34.9;;;0.5;6.5
nov-98;237.7;161.6;53.6;14.8;;;0.2;7.5
dic-98;225.3;159.5;23.1;33.9;;;0.9;7.9
ene-99;307.3;167.6;113.3;17.1;;;0.3;9
feb-99;222.4;145.9;18.1;50.7;;;0.3;7.4
mar-99;221;142.9;53.7;14.4;;;1.8;8.2
abr-99;210.4;159.5;13.8;28.8;;;1;7.3
may-99;228.2;153.9;55.6;11.2;;;0.2;7.3
jun-99;206.2;144.9;20.5;31.1;;;1.6;8.1
jul-99;231.8;152;58.6;12;;;0.5;8.7
ago-99;205.6;151.2;15.4;29.7;;;0.2;9.1
sep-99;238.9;154.9;60;11.7;;;2.1;10.2
oct-99;214.5;154.1;20.1;30;;;0.9;9.4
nov-99;225.5;149.7;52.8;13.4;;;0.3;9.3
dic-99;221.6;157;22.1;31.5;;;1.4;9.6
ene-00;299.6;163.1;113.8;14.5;;7.6;0;0.6
feb-00;213.7;137.3;18.1;50.3;;7.5;0;0.5
mar-00;217.4;137.4;55.9;14.1;;7.9;0;2.1
abr-00;199.3;151;13.4;26.9;;7.2;0;0.8
may-00;223.6;145.2;58.5;11.3;;8;0;0.6
jun-00;203.1;148.4;17.4;27;;7.9;0;2.4
jul-00;219.2;148.2;51.7;10.5;;7.8;0;1
ago-00;218;160;18.6;27.3;;11.2;0;0.9
sep-00;243.6;159.7;58.2;11.9;;11.4;0;2.4
oct-00;222.9;160.5;19.5;29;;12.9;0;1
nov-00;232;152.4;54.1;11.9;;13.1;0;0.5
dic-00;211.8;155.5;15.7;26.2;;12.3;0;2.1
ene-01;328.8;166.6;128.8;19.1;;13.1;0.7;0.5
feb-01;222.4;144.2;16.6;48.9;;12.2;0.2;0.3
mar-01;212.2;135.9;51.8;10.1;;11.8;2.2;0.4
abr-01;198.6;149.3;14.2;22.7;;11.2;0.7;0.5
may-01;216.1;143.3;51.4;10;;10.9;0.2;0.3
jun-01;194.3;142.2;15.3;24.2;;10.2;1.5;0.9
jul-01;216.6;139.3;56.5;10;;9.9;0.6;0.3
ago-01;194.5;142.4;17.9;24.4;;9.1;0.4;0.3
sep-01;206.4;137.2;49.7;9;;8.5;1.6;0.4
oct-01;180.2;130;15.8;24.9;;8.5;0.6;0.4
nov-01;193.5;128.5;46.7;8.9;;8.9;0.2;0.3
dic-01;117.8;89.4;9.9;14.4;;2.7;1;0.4
ene-02;233.6;134.5;77.4;9.5;;11.4;0.4;0.4
feb-02;168.2;108.7;21.9;30.2;;7.1;0.1;0.2
mar-02;167.8;105;41.7;11.2;;8.2;1.2;0.5
abr-02;156;116.6;15;17.7;;6;0.6;0.1
may-02;205.9;126.1;56.3;10.3;;12.6;0.3;0.3
jun-02;186.4;139.7;15;19.2;;10.9;1;0.6
jul-02;215.2;139.2;51.5;9.6;;14.3;0.4;0.2
ago-02;196;147.3;16;20;;12.3;0.1;0.3
sep-02;229.7;149.6;57.3;8.3;;12.6;1.4;0.5
oct-02;209.8;150.6;19.2;23.1;;16;0.6;0.3
nov-02;233.7;156.1;54.8;8.9;;13.6;0.1;0.2
dic-02;221;165.7;21.1;21.2;;10.9;1.4;0.7
ene-03;320.3;185.8;111.3;9.3;;13.4;0.2;0.3
feb-03;252.9;166.3;19.4;54.5;0.9;11.4;0.1;0.3
mar-03;249.4;166.4;56.5;11.1;1.2;12.1;1.5;0.6
abr-03;237.4;170.2;18.2;30.7;1.4;16;0.6;0.3
may-03;269.9;179.2;63.5;11.7;1.7;13.3;0.2;0.3
jun-03;238.8;168.5;20.9;32.4;2;12.9;1.3;0.8
jul-03;270.1;175;63.8;13.4;1.9;15.3;0.3;0.4
ago-03;249.5;185.2;16.9;31.1;2.1;13.7;0.2;0.3
sep-03;284.7;186.4;67.7;12.3;1.8;14;1.8;0.7
oct-03;275.1;193.1;24.1;40.4;2.6;14;0.6;0.3
nov-03;294.2;200.6;60.8;14;2.6;15.8;0.1;0.3
dic-03;286.5;199.2;26.8;34.3;3.2;20.6;1.5;0.9
ene-04;424.9;237.1;146.9;14.1;3.3;22.5;0.7;0.3
feb-04;318.8;209.4;22.7;64.9;4.5;16.9;0.1;0.3
mar-04;322.6;201.3;67.3;18;4.1;28.9;2.2;0.8
abr-04;308.5;226.4;18;31.9;7.1;24.1;0.7;0.3
may-04;327.9;210.5;71.3;12.6;7.4;25.4;0.3;0.4
jun-04;327.9;229.2;24.4;36.8;6.5;28.3;1.7;1
jul-04;344.2;231.9;62.6;14.3;9.3;25.3;0.5;0.3
ago-04;317.9;236.8;16.6;32.3;7.1;24.3;0.3;0.5
sep-04;375.4;254.5;72.3;14.6;6.2;24.6;2.5;0.7
oct-04;343.9;252.5;21;37.9;7.5;24.2;0.5;0.3
nov-04;361.8;247.2;67.8;16.7;6.4;22.5;0.2;1
dic-04;371.3;265;30.9;37;9.1;26.3;1.8;1.2
ene-05;490.9;284.4;162.4;12.1;10;21.1;0.4;0.5
feb-05;364.2;244.4;19.5;77.8;6.7;13.4;0.2;2.2
mar-05;363.7;243.8;64.9;14.1;7.1;29.4;2.2;2.2
abr-05;363.3;273.3;21.2;34.8;10.5;21.3;1.1;1.1
may-05;413;296.4;64;16.4;11.8;20.8;0.4;3.2
jun-05;383.8;283.7;24.5;35.9;15.6;20.9;1.8;1.4
jul-05;397.1;283.2;63.1;17.9;11.6;20.3;0.7;0.3
ago-05;393.7;297.6;21.2;41.8;11.6;20.7;0.5;0.3
sep-05;466.9;334.8;74.4;18.1;14.9;20.7;2.1;1.9
oct-05;418.4;314.1;23.8;44.5;14.1;20.3;0.9;0.7
nov-05;445.4;319;65.9;19.3;19.1;20.4;1.2;0.5
dic-05;455.3;339.5;31.6;44;15.7;21.4;1.8;1.3
ene-06;576.8;345.8;167.9;24.5;17.1;19.9;0.4;1.2
feb-06;473.6;319.7;19.5;104.9;12;16.7;0.3;0.5
mar-06;453.3;314.4;64.1;21.1;9.1;40;2.4;2.2
abr-06;517.2;403.4;18.7;43.5;18.1;31.7;0.8;1
may-06;494.8;335.4;69.2;24.9;16.4;48;0.6;0.3
jun-06;493.5;370.4;22.8;48.7;16.2;30.9;2.5;2
jul-06;500;362.9;61.2;20.4;20.1;34.6;0.6;0.2
ago-06;482.1;369.3;20.7;49.5;16.9;24.1;0.6;1
sep-06;521.2;393.6;67.7;19.6;16.4;20.4;2.4;1.1
oct-06;521.6;401.3;23.6;57.2;17.2;20.6;1.2;0.5
nov-06;553.5;418.4;65.5;21.4;24.6;22.2;1.1;0.3
dic-06;530.6;412.1;25.7;50.6;18.2;20.3;1.8;1.9
ene-07;709.5;431.8;188.2;41.7;25.6;21.3;0.7;0.2
feb-07;611.2;402.6;29.7;145;16.1;15.8;0.3;1.7
mar-07;529.2;391.6;61.2;25;21.1;25.3;3.6;1.4
abr-07;564.1;449.7;15.6;58.1;19.6;18.8;1.1;1.2
may-07;551.8;417.2;68.5;20.8;16.7;27.5;0.6;0.5
jun-07;647.1;506.5;18.4;63.9;27.1;26;2.8;2.4
jul-07;653.5;502.5;62.3;28.6;27.4;29.8;2.4;0.5
ago-07;665.3;531.7;15.6;65;24.2;28;0.6;0.2
sep-07;650.2;493.7;65.7;25.1;35.4;26.5;2.5;1.3
oct-07;704.5;534.1;23.6;73.5;21.8;47.2;1.8;2.5
nov-07;772.5;571.4;65.6;27.9;22.6;83.5;1;0.5
dic-07;697.5;508;41.5;63.6;23.5;56.1;2.3;2.5
ene-08;1086.1;615.5;341.9;57.6;35.3;34.1;0.9;0.8
feb-08;821.3;539.3;38.5;189.3;22.3;28.9;0.3;2.7
mar-08;718.9;494.4;125.3;30.7;29.1;29.3;6.2;3.9
abr-08;769.8;589.8;37.8;85.5;17.7;35.3;3.1;0.6
may-08;857.6;612.1;143.8;34.8;30.9;34.1;1;0.9
jun-08;812.7;624.2;31.2;81.6;25.3;40.6;6.7;3.1
jul-08;920.7;669.1;135.7;37.3;29.5;46.1;2.1;0.9
ago-08;819.5;647.4;27.6;79.8;24.9;37.6;1.9;0.3
sep-08;997.9;737.3;151.3;32;23.1;45.6;6.1;2.5
oct-08;917;698.8;37.3;103.1;26.6;46.7;3.9;0.6
nov-08;928.6;707.6;128.7;25.5;30.1;35.5;1;0.2
dic-08;931;674.7;87.1;93.1;27.3;40.7;5.9;2.2
ene-09;1152.6;729.7;307.6;43.2;31.2;37.6;1.6;1.7
feb-09;950.4;643.4;32.2;205.7;32.1;32.4;0.6;4
mar-09;957.6;685.5;138.3;35.9;45.4;35.8;8.3;8.5
abr-09;1011.5;748.1;40;101.6;60.2;36.1;2.9;22.5
may-09;917.6;628.3;137.5;28.7;61.3;43.7;0.7;17.4
jun-09;1011.2;712.9;36.3;111.8;74.7;46.7;7;21.8
jul-09;1071;764.2;136.2;37.4;79;49.9;3.1;1.1
ago-09;969.9;710.2;41.5;109.2;68.8;38.8;0.8;0.5
sep-09;1184.2;841.7;155.4;38.3;93.9;40.4;8.7;5.9
oct-09;1082.6;796.8;39.6;123.5;78.8;40.6;2;1.3
nov-09;1060.5;754.1;137.3;35.1;76.1;54.4;2.6;0.9
dic-09;1190.8;802.5;106.6;134.7;83.9;47.6;8.6;6.9
ene-10;1370.4;806.8;322.9;89;107;42.4;1.5;0.8
feb-10;1125.4;794.7;35.3;178.4;78.4;35.7;1;1.8
mar-10;1064.5;718.7;147.8;41.9;79.4;55.5;8.9;12.3
abr-10;1145.2;846.6;40.8;110.8;93.4;43.4;3;7.2
may-10;1148.6;814.3;150.1;30.5;98.8;48.1;0.7;6.1
jun-10;1319.2;971.9;36.4;127.2;115.3;49.8;8;10.6
jul-10;1369.9;1008.6;145.3;43.1;118.6;46.2;1.9;6.1
ago-10;1366;1006.5;45.6;126.5;119;58;1.5;8.8
sep-10;1717.1;1138.8;168;43.7;121.2;219.9;11;14.6
oct-10;1513.9;1064.6;36.4;137.8;118.5;145.4;2.4;8.7
nov-10;1500;1113.6;145.6;43.5;115.9;72.5;1.2;7.7
dic-10;1658.3;1230.1;91.2;134.2;132.2;50.4;6.9;13.3
ene-11;1968.3;1275.8;373.2;106.8;151.3;52.1;1.2;7.9
feb-11;1580.4;1129.9;36.1;246.5;113.3;46.4;1.6;6.6
mar-11;1486.7;1108.7;146.7;50.6;105.8;51.4;9.4;14
abr-11;1523.6;1150;35.1;140.5;133.6;46.8;2.5;15.1
may-11;1627.3;1246;163.6;41.6;117.8;48.1;1.4;8.9
jun-11;1793.7;1390.5;40.8;155.5;136.6;47.8;8.1;14.3
jul-11;1744;1339.8;146.2;52;147.9;47.7;1.5;8.9
ago-11;1940.8;1514.8;40.7;156;169.1;50.7;0.9;8.6
sep-11;1931.1;1478.2;169.8;49.2;163;49.6;10.3;10.9
oct-11;1817.6;1379.5;39.6;182.3;160.5;45.6;2;8
nov-11;1976;1570;143.2;53.3;150.6;48.3;1.6;9
dic-11;2178.3;1644.2;130.4;176.7;150.1;49.1;7.1;20.7
ene-12;2410;1667.8;399.1;130.1;155;48;2;7.9
feb-12;1820.4;1409.9;33.2;210.8;120.3;40;1.3;4.8
mar-12;2032.1;1577.3;150.3;119.6;118.8;51.1;8.3;6.7
abr-12;2312.7;1477.5;471.1;155.5;144;44.8;3.1;16.7
may-12;2222.2;1778.3;193.3;64.9;124.6;51.7;2;7.3
jun-12;2237.5;1669.5;165.1;181.4;155.3;49.4;8.3;8.5
jul-12;2137.9;1645.6;184.5;68.6;170.9;50.4;2.5;15.3
ago-12;2529.1;1921;210.7;184.7;150.4;53.3;2.3;6.9
sep-12;2242.6;1777.4;184.1;64.5;149.4;51;9.9;6.3
oct-12;2700.4;2056.1;191.1;222.3;155.8;55.6;3.3;16.1
nov-12;2394.9;1930.6;178;60.4;166.2;49.5;2.9;7.3
dic-12;2807.8;2002.1;378.5;195.2;163.5;49.5;7.8;11.1
ene-13;3667.1;2402;818.4;172;198.2;57.3;2.6;16.6
feb-13;3014.5;2151.8;239.4;362.3;200.9;47.9;2.6;9.8
mar-13;2629.9;2038.9;268.3;73.6;167.8;54;10.5;16.8
abr-13;3210;2397.8;277.4;230.9;227.2;55.3;4.2;17.2
may-13;3124.6;2436.3;283;77.7;252.5;59;3.1;13
jun-13;3386.6;2556;276.5;202.5;269.7;52.4;8.2;21.2
jul-13;3255.5;2541.1;291;100.2;248.7;56.7;4.2;13.6
ago-13;3631.1;2766.7;278.3;239;271.1;56.3;4.2;15.7
sep-13;3552.1;2834;270.9;82.8;269.9;60.1;12.2;22.3
oct-13;3672.5;2712.1;295.4;279.6;301.3;60;7.5;16.5
nov-13;3485.5;2695.1;301.7;114.7;299.3;55.1;3.3;16.3
dic-13;3741.1;2623.9;447.1;272.1;293.5;58;11;35.5
ene-14;4985.5;3298;1011.3;229.2;363.2;68.7;5.1;10
feb-14;4680.5;3461.3;327;481.8;332.2;59.9;3.4;14.8
mar-14;3611.6;2751.1;358.4;111.9;289.8;65.5;11.8;23
abr-14;4121;3056;369.9;323.6;278.3;69.5;6.3;17.4
may-14;4243.7;3332.6;411.6;91.9;313.5;75.3;3.7;15.1
jun-14;4491.7;3299.6;382.3;347.2;342.4;82;13.2;24.9
jul-14;4233.3;3230;405;138.1;355.9;81.5;3;19.8
ago-14;4483.8;3311.5;369.4;336.4;360.8;89.7;3;12.9
sep-14;4725.7;3638.2;430.5;134.7;353.8;118.2;17.4;32.9
oct-14;5004.5;3677.8;391.2;377.2;438.2;92.7;6.4;21.1
nov-14;4832;3846.3;330;98.7;452.7;80;2.8;21.6
dic-14;4932.4;3324;718.2;367.3;374.6;86.4;13.1;48.8
ene-15;6264;4075;1219.5;263.3;569.3;114.6;2.5;19.8
feb-15;5144.7;3570.1;421.4;677.9;362.7;94.1;2.5;16
mar-15;4707.6;3597.3;475.6;135.2;345.8;102.6;15.7;35.3
abr-15;5430.9;3957;473.4;460.3;407.6;97.7;7.2;27.7
may-15;5167.1;4046.8;492.4;109.4;397.7;96.1;4.9;19.9
jun-15;5526.7;3932.2;504.9;490.5;419.3;121.3;19.1;39.4
jul-15;5732.5;4365.6;526.8;167.3;502.4;138.3;5.5;26.6
ago-15;6072.3;4452.1;461;468.4;537.5;119.5;5;28.8
sep-15;5801.4;4465.1;526.6;172.7;464.3;116.2;19.1;37.3
oct-15;6314;4658.2;494.3;507.7;521;103.5;5.7;23.6
nov-15;5973.7;4715;469.5;131.3;529.8;98.8;5.3;24
dic-15;6810.8;4705;883.5;496.8;551;100.6;18.2;55.7
ene-16;7765.5;5224.8;1529.6;270.9;579.4;130.8;3.2;26.8
